workload,method,p95_ms,acc,ari,nmi,fmr
FSDD,Full,1.159309,0.766667,0.661479,0.805239,0.013333
FSDD,Fish,1.721721,0.766667,0.721689,0.848770,0.000000
FSDD,Ours,0.483948,0.766667,0.721689,0.848770,0.000000
S320,Full,8.735258,0.915625,0.878065,0.896018,0.000000
S320,Fish,9.554170,0.915625,0.878065,0.896018,0.000000
S320,Ours,0.399576,0.915625,0.878065,0.896018,0.000000
D320,Full,9.030576,1.000000,1.000000,1.000000,0.000000
D320,Fish,9.416290,1.000000,1.000000,1.000000,0.000000
D320,Ours,0.449272,1.000000,1.000000,1.000000,0.000000
D640,Full,26.654689,1.000000,1.000000,1.000000,0.000000
D640,Fish,19.825743,0.996875,0.998579,0.996827,0.000000
D640,Ours,3.590152,0.996875,0.998579,0.996827,0.000000
