seed,method,interval_ms,decision_mean_ms,decision_p95_ms,maintenance_ms_total,max_queue_depth,recompute_count,acc,ari,nmi,false_merge_rate
20260910,adaptive_fishdbc_async,5.0,0.5261591673233083,1.1457529151812196,1341.8048071325757,4,94,0.9375,0.9149836149048532,0.9202709233656893,0.0
20260910,fishdbc,5.0,4.967214791272069,9.191414387896653,1584.592727420386,0,320,0.915625,0.8780647209586576,0.8960183334134636,0.0
20260911,adaptive_fishdbc_async,5.0,0.37442796738076733,1.0596901702228918,1106.3947370275855,3,89,0.965625,0.9508431602859824,0.9495383994454772,0.0017410714285714286
20260911,fishdbc,5.0,5.510830309104794,8.822624792810526,1757.9952685628086,0,320,0.9,0.8544121578701163,0.8823535431591235,0.0007142857142857143
20260912,adaptive_fishdbc_async,5.0,0.5758657183302537,1.5017452707979742,1318.7387008219957,4,91,0.946875,0.9253380246054775,0.9236236369092152,0.0008482142857142857
20260912,fishdbc,5.0,5.806687862946591,9.182300919201225,1852.3778222734109,0,320,0.878125,0.8138828547470173,0.8627839522678968,0.0
20260913,adaptive_fishdbc_async,5.0,0.47216589123209163,1.1709858779795468,1341.0990760312416,4,91,0.95,0.9293115571380223,0.9303482121637426,0.0017410714285714286
20260913,fishdbc,5.0,5.488310872137745,9.111289714928716,1750.8075262303464,0,320,0.884375,0.8405157002796553,0.8879811991935851,0.0
20260914,adaptive_fishdbc_async,5.0,0.45411962250154175,1.1697880923748,1267.2264280263335,4,92,0.8375,0.8126986697981413,0.8888408773436751,0.034799107142857146
20260914,fishdbc,5.0,5.102460072259054,9.064955293433737,1627.7194910217077,0,320,0.771875,0.7096243143845752,0.8095065982961173,0.02580357142857143
