step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
10,11.006608023308218,sc_pna_full_recluster,10,10,10,0,165,0,0,0,0,0,1583.5988170001656,1514.000196941197,0,0,0,0.0,5,0.7,0.7,0.7,0.3333333333333333,0.5,0.0975609756097561,1.0,0.3283582089552239,0.7744534657094394
20,9.76028898730874,sc_pna_full_recluster,20,20,20,0,1330,0,0,0,0,0,1672.5294949719682,1514.000196941197,0,0,0,0.0,3,0.5,0.5,0.5,0.3157894736842105,0.75,0.23493975903614459,1.0,0.32432432432432434,0.5989760113970624
30,9.279006044380367,sc_pna_full_recluster,30,30,30,0,4495,0,0,0,0,0,1762.4603458680212,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22127659574468084,0.8666666666666667,0.488,1.0,0.170187265917603,0.3868702053924319
40,9.188730968162417,sc_pna_full_recluster,40,40,40,0,10660,0,0,0,0,0,1853.0565387336537,1514.000196941197,0,0,0,0.0,2,0.35,0.35,0.35,0.20765027322404372,1.0,0.6531531531531531,1.0,0.13436811168258633,0.41166319965999393
50,8.806660072878003,sc_pna_full_recluster,50,50,50,0,20825,0,0,0,0,0,1946.3862469419837,1514.000196941197,0,0,0,0.0,2,0.36,0.36,0.36,0.21495327102803738,1.0,0.6455331412103746,1.0,0.14159867861254316,0.41687221661977975
60,10.412950068712234,sc_pna_full_recluster,60,60,60,0,35990,0,0,0,0,0,2041.9610611861572,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2125984251968504,1.0,0.6666666666666666,1.0,0.1323529411764706,0.40187044901108004
70,9.972456959076226,sc_pna_full_recluster,70,70,70,0,57155,0,0,0,0,0,2138.8837781269103,1514.000196941197,0,0,0,0.0,2,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.21756835369400815,1.0,0.6589906908378246,1.0,0.1381368998958019,0.40740599817753503
80,9.787365095689893,sc_pna_full_recluster,80,80,80,0,85320,0,0,0,0,0,2237.5941834179685,1514.000196941197,0,0,0,0.0,2,0.35,0.35,0.35,0.22093023255813954,1.0,0.6534133533383346,1.0,0.1422505995981072,0.4113117629854319
90,14.700967934913933,sc_pna_full_recluster,90,90,90,0,121485,0,0,0,0,0,2350.714069325477,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.21836228287841192,0.9777777777777777,0.6533333333333333,1.0,0.1343846838278158,0.37807921271251294
100,117.785713984631,sc_pna_full_recluster,100,100,100,0,166650,0,0,0,0,0,2892.4285453977063,1514.000196941197,0,0,0,0.0,2,0.34,0.34,0.34,0.22153150607516248,1.0,0.6613058089294287,1.0,0.13958928428794037,0.405729354972737
110,115.9004169749096,sc_pna_full_recluster,110,110,110,0,221815,0,0,0,0,0,3684.8719842964783,1514.000196941197,0,0,0,0.0,2,0.33636363636363636,0.33636363636363636,0.33636363636363636,0.2231227651966627,0.9811320754716981,0.646498710573299,1.0,0.14076944322771914,0.38712049750117294
120,122.63008300215006,sc_pna_full_recluster,120,120,120,0,287980,0,0,0,0,0,4687.854899326339,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22150882825040127,0.968421052631579,0.6466666666666666,1.0,0.13601204381456677,0.37230897633278776
130,110.67690991330892,sc_pna_full_recluster,130,130,130,0,366145,0,0,0,0,0,5564.632770954631,1514.000196941197,0,0,0,0.0,2,0.3384615384615385,0.3384615384615385,0.3384615384615385,0.2236645032451323,1.0,0.6625479335321687,1.0,0.14035840016835918,0.404832380189894
140,123.3030540170148,sc_pna_full_recluster,140,140,140,0,457310,0,0,0,0,0,6692.999997059815,1514.000196941197,0,0,0,0.0,2,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.2251655629139073,1.0,0.6590742101396032,1.0,0.1425840650377112,0.40729348231723256
150,124.03094000183046,sc_pna_full_recluster,150,150,150,0,562475,0,0,0,0,0,7871.326377848163,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2236024844720497,1.0,0.6666666666666666,1.0,0.13872832369942195,0.4018704490110799
160,126.41555489972234,sc_pna_full_recluster,160,160,160,0,682640,0,0,0,0,0,8946.495715761557,1514.000196941197,0,0,0,0.0,2,0.3375,0.3375,0.3375,0.2247340425531915,0.9873417721518988,0.6559159947496719,1.0,0.13984503777909055,0.3875218710474812
170,135.1680459920317,sc_pna_full_recluster,170,170,170,0,818805,0,0,0,0,0,10043.70986460708,1514.000196941197,0,0,0,0.0,2,0.3411764705882353,0.3411764705882353,0.3411764705882353,0.22597147073290702,0.9883820998278829,0.6534341001577942,1.0,0.14184500145716214,0.39034190893767623
180,100.22827005013824,sc_pna_full_recluster,180,180,180,0,971970,0,0,0,0,0,11186.300477595069,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2248062015503876,1.0,0.6666666666666666,1.0,0.13942307692307693,0.4018704490110797
190,153.8694790797308,sc_pna_full_recluster,190,190,190,0,1143135,0,0,0,0,0,12569.21784079168,1514.000196941197,0,0,0,0.0,2,0.3368421052631579,0.3368421052631579,0.3368421052631579,0.2259089851926506,1.0,0.6638521374908584,1.0,0.14115825343691216,0.4038924639547885
200,124.26238204352558,sc_pna_full_recluster,200,200,200,0,1333300,0,0,0,0,0,13758.114581811242,1514.000196941197,0,0,0,0.0,2,0.335,0.335,0.335,0.2262600043261951,0.9703153988868275,0.6438857554302172,1.0,0.140388624855437,0.36859165427164264
210,209.8878730321303,sc_pna_full_recluster,210,210,210,0,1543465,0,0,0,0,0,15301.1061711004,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.225295934122491,0.9809523809523809,0.6553469387755102,1.0,0.13848433914237496,0.3741775995550941
220,185.576256015338,sc_pna_full_recluster,220,220,220,0,1774630,0,0,0,0,0,17043.502365006134,1514.000196941197,0,0,0,0.0,2,0.33636363636363636,0.33636363636363636,0.33636363636363636,0.2261757970759204,0.981651376146789,0.6535257363879797,1.0,0.13991792818548912,0.37667669046514474
230,164.5211869617924,sc_pna_full_recluster,230,230,230,0,2027795,0,0,0,0,0,18746.917959069833,1514.000196941197,0,0,0,0.0,2,0.3347826086956522,0.3347826086956522,0.3347826086956522,0.22691035305602256,0.9743828598043782,0.6467492400526292,1.0,0.14084581501643184,0.3714491892472347
240,105.40214204229414,sc_pna_full_recluster,240,240,240,0,2303960,0,0,0,0,0,20640.34402591642,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22588945519323073,0.9754273504273504,0.6518333333333334,1.0,0.13855091145836312,0.36921133898571334
250,224.37601804267615,sc_pna_full_recluster,250,250,250,0,2604125,0,0,0,0,0,22601.882073795423,1514.000196941197,0,0,0,0.0,2,0.336,0.336,0.336,0.22662100456621004,0.9761998426435877,0.6503974501747245,1.0,0.13977293827035675,0.3714641751658545
260,137.9103030776605,sc_pna_full_recluster,260,260,260,0,2929290,0,0,0,0,0,24955.111658084206,1514.000196941197,0,0,0,0.0,2,0.3346153846153846,0.3346153846153846,0.3346153846153846,0.22735534046240333,0.9772892441860465,0.6490094440105091,1.0,0.14107611679702728,0.37371197752593166
270,435.31122896820307,sc_pna_full_recluster,270,270,270,0,3280455,0,0,0,0,0,27113.08875703253,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22652318649841294,0.9851851851851852,0.657843621399177,1.0,0.1394660409122744,0.3786661986578565
280,153.28902506735176,sc_pna_full_recluster,280,280,280,0,3658620,0,0,0,0,0,29389.605902135372,1514.000196941197,0,0,0,0.0,2,0.3357142857142857,0.3357142857142857,0.3357142857142857,0.22706821480406386,0.9787300594307163,0.6521153492928428,1.0,0.14010766580233294,0.3736499802603464
290,356.8918330129236,sc_pna_full_recluster,290,290,290,0,4064785,0,0,0,0,0,32078.050164389424,1514.000196941197,0,0,0,0.0,2,0.33448275862068966,0.33448275862068966,0.33448275862068966,0.22770835449896712,0.9796037296037297,0.650809052253075,1.0,0.14125919676947413,0.3756267317258918
300,221.07979096472263,sc_pna_full_recluster,300,300,300,0,4499950,0,0,0,0,0,34352.53161098808,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22682633212950642,0.9741496598639455,0.6508266666666667,1.0,0.13909554393042906,0.3687119008610266
310,165.26659997180104,sc_pna_full_recluster,310,310,310,0,4965115,0,0,0,0,0,37218.684439896606,1514.000196941197,0,0,0,0.0,2,0.33548387096774196,0.33548387096774196,0.33548387096774196,0.2272211268447153,0.9684237331296155,0.6460378112434755,1.0,0.13949494354606215,0.3599899417801933
320,244.05464192386717,sc_pna_full_recluster,320,320,320,0,5461280,0,0,0,0,0,40361.854922026396,1514.000196941197,0,0,0,0.0,2,0.334375,0.334375,0.334375,0.22779944446003197,0.969548602818247,0.6450569540149065,1.0,0.1405617288000508,0.3620527660157951
330,320.64269902184606,sc_pna_full_recluster,330,330,330,0,5989445,0,0,0,0,0,42805.69752689917,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22700390748759108,0.9649831649831649,0.6452451790633609,1.0,0.13863722712096793,0.3567038601393563
340,433.32271894905716,sc_pna_full_recluster,340,340,340,0,6550610,0,0,0,0,0,46168.268702807836,1514.000196941197,0,0,0,0.0,2,0.3352941176470588,0.3352941176470588,0.3352941176470588,0.22750690659299636,0.9658706677937448,0.6443964622347714,1.0,0.1395358214744818,0.3585726585065113
350,249.16232493706048,sc_pna_full_recluster,350,350,350,0,7145775,0,0,0,0,0,49423.12908684835,1514.000196941197,0,0,0,0.0,2,0.3342857142857143,0.3342857142857143,0.3342857142857143,0.22805981432047437,0.9621287622084911,0.6402108109167141,1.0,0.14039189893282078,0.3572807060721278
360,253.0356040224433,sc_pna_full_recluster,360,360,360,0,7775940,0,0,0,0,0,52667.24444273859,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22730891719745222,0.9677966101694915,0.647,1.0,0.1389644176103338,0.3591736873396842
370,342.0105400728062,sc_pna_full_recluster,370,370,370,0,8442105,0,0,0,0,0,56348.765642615035,1514.000196941197,0,0,0,0.0,2,0.33513513513513515,0.33513513513513515,0.33513513513513515,0.22776509040625195,0.9685495367070563,0.6461667923072877,1.0,0.13978875917288067,0.3608685731614476
380,253.47972800955176,sc_pna_full_recluster,380,380,380,0,9145270,0,0,0,0,0,59823.186332709156,1514.000196941197,0,0,0,0.0,2,0.3368421052631579,0.3368421052631579,0.3368421052631579,0.2284029989515539,0.97483958122256,0.64828973174218,1.0,0.14121894552156458,0.37171436502121236
390,247.34169302973896,sc_pna_full_recluster,390,390,390,0,9886435,0,0,0,0,0,64962.24996470846,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22770554672154147,0.9753205128205128,0.6514082840236687,1.0,0.13971656038678168,0.37026335269882477
400,256.6164400195703,sc_pna_full_recluster,400,400,400,0,10666600,0,0,0,0,0,69013.62652657554,1514.000196941197,0,0,0,0.0,2,0.335,0.335,0.335,0.22798548159273366,0.9708390437033653,0.6476764767647677,1.0,0.14000613744726068,0.36290638849256307
410,257.22273893188685,sc_pna_full_recluster,410,410,410,0,11486765,0,0,0,0,0,72337.07836456597,1514.000196941197,0,0,0,0.0,2,0.33414634146341465,0.33414634146341465,0.33414634146341465,0.22842302452316077,0.9716748768472906,0.646863979669051,1.0,0.1408376445288765,0.36448104486289007
420,256.63319299928844,sc_pna_full_recluster,420,420,420,0,12347930,0,0,0,0,0,75809.93646173738,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22779161142191895,0.9722567287784679,0.6497687074829932,1.0,0.13948788820622707,0.36330616061762444
430,383.2192509435117,sc_pna_full_recluster,430,430,430,0,13251095,0,0,0,0,0,79339.03698483482,1514.000196941197,0,0,0,0.0,2,0.33488372093023255,0.33488372093023255,0.33488372093023255,0.22817579771222155,0.9728182177175201,0.6489791150166794,1.0,0.14019491485019325,0.3647287073648707
440,1141.713489079848,sc_pna_full_recluster,440,440,440,0,14197260,0,0,0,0,0,83179.84215565957,1514.000196941197,0,0,0,0.0,2,0.33636363636363636,0.33636363636363636,0.33636363636363636,0.22871053408084982,0.9741108457961544,0.6480797361961669,1.0,0.14125609091701366,0.37133484637097003
450,291.443747933954,sc_pna_full_recluster,450,450,450,0,15187425,0,0,0,0,0,85899.59111472126,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22797781196629452,0.9700900900900901,0.6482607407407407,1.0,0.13953641626922358,0.36207386505129036
460,251.1794260935858,sc_pna_full_recluster,460,460,460,0,16222590,0,0,0,0,0,89354.18577096425,1514.000196941197,0,0,0,0.0,2,0.3347826086956522,0.3347826086956522,0.3347826086956522,0.22844949447353896,0.975005745805562,0.6500238187056235,1.0,0.1405984806525627,0.37127763743076103
470,285.13299906626344,sc_pna_full_recluster,470,470,470,0,17303755,0,0,0,0,0,92910.79360304866,1514.000196941197,0,0,0,0.0,2,0.33617021276595743,0.33617021276595743,0.33617021276595743,0.228829526390502,0.9756795422031473,0.6492541367434078,1.0,0.14133014944358932,0.37252926471824677
480,249.67849405948073,sc_pna_full_recluster,480,480,480,0,18431920,0,0,0,0,0,96224.29761709645,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2281444613651277,0.9718881856540085,0.6493958333333333,1.0,0.13972428387706834,0.36371881828646707
490,265.56368893943727,sc_pna_full_recluster,490,490,490,0,19608085,0,0,0,0,0,99741.62479280494,1514.000196941197,0,0,0,0.0,2,0.3346938775510204,0.3346938775510204,0.3346938775510204,0.2284899875443135,0.9652904270390609,0.6439159944422786,1.0,0.14010593242725436,0.3601882861844527
500,247.03541805502027,sc_pna_full_recluster,500,500,500,0,20833250,0,0,0,0,0,103381.57911004964,1514.000196941197,0,0,0,0.0,2,0.334,0.334,0.334,0.2288938165523295,0.962835211815002,0.6409673021907341,1.0,0.1407735067448295,0.35955322029260545
510,707.741611986421,sc_pna_full_recluster,510,510,510,0,22108415,0,0,0,0,0,106780.5125261657,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2282945480915024,0.9700280112044818,0.648083044982699,1.0,0.1397676228894301,0.36272590050667247
520,284.17885792441666,sc_pna_full_recluster,520,520,520,0,23434580,0,0,0,0,0,109415.12485116255,1514.000196941197,0,0,0,0.0,2,0.3346153846153846,0.3346153846153846,0.3346153846153846,0.22863623294891863,0.9639489988327198,0.6429446328084781,1.0,0.14016849462279063,0.3597301610030354
530,269.91941093001515,sc_pna_full_recluster,530,530,530,0,24812745,0,0,0,0,0,112935.64390926622,1514.000196941197,0,0,0,0.0,2,0.3339622641509434,0.3339622641509434,0.3339622641509434,0.22897782013695367,0.9550207397165572,0.635896822481011,1.0,0.14046572405921603,0.35292221330982115
540,271.2992919841781,sc_pna_full_recluster,540,540,540,0,26243910,0,0,0,0,0,116262.08173588384,1514.000196941197,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22862150117670624,0.9500208073241782,0.6339588477366255,1.0,0.1394999267854528,0.34952622798514654
550,295.74438906274736,sc_pna_full_recluster,550,550,550,0,27729075,0,0,0,0,0,119892.18614262063,1514.000196941197,0,0,0,0.0,2,0.33454545454545453,0.33454545454545453,0.33454545454545453,0.22867168303200083,0.9592123205261891,0.6400615672677938,1.0,0.13989491516828098,0.3547314529588007
560,277.98222098499537,sc_pna_full_recluster,560,560,560,0,29269240,0,0,0,0,0,123964.96789657976,1514.000196941197,0,0,0,0.0,2,0.3339285714285714,0.3339285714285714,0.3339285714285714,0.2289936898040518,0.9600835460663727,0.6396002020418472,1.0,0.1405345815947776,0.3559452954484801
