step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
10,8.25855100993067,sc_pna_full_recluster,10,10,10,0,165,0,0,0,0,0,1570.0716230785474,1515.3953530825675,0,0,0,0.0,3,0.6,0.6,0.6,0.3333333333333333,1.0,0.1951219512195122,1.0,0.4230769230769231,0.7676506995164393
20,9.843756910413504,sc_pna_full_recluster,20,20,20,0,1330,0,0,0,0,0,1658.0440999241546,1515.3953530825675,0,0,0,0.0,3,0.55,0.55,0.55,0.3103448275862069,0.75,0.24096385542168675,1.0,0.3169740543919975,0.5590270826499381
30,7.650982006452978,sc_pna_full_recluster,30,30,30,0,4495,0,0,0,0,0,1742.263674736023,1515.3953530825675,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2336448598130841,0.8333333333333334,0.43733333333333335,1.0,0.19056785370548604,0.3947209047092565
40,9.236773941665888,sc_pna_full_recluster,40,40,40,0,10660,0,0,0,0,0,1826.413681730628,1515.3953530825675,0,0,0,0.0,2,0.35,0.35,0.35,0.20765027322404372,1.0,0.6531531531531531,1.0,0.13436811168258633,0.41166319965999393
50,9.205310023389757,sc_pna_full_recluster,50,50,50,0,20825,0,0,0,0,0,1920.1488296967,1515.3953530825675,0,0,0,0.0,2,0.36,0.36,0.36,0.21608040201005024,0.9347826086956522,0.5994236311239193,1.0,0.14155571128241065,0.3771409859950144
60,9.545621927827597,sc_pna_full_recluster,60,60,60,0,35990,0,0,0,0,0,2015.9082056488842,1515.3953530825675,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.21202274573517466,0.9666666666666667,0.6466666666666666,1.0,0.13011852231141097,0.372308976332788
70,12.01562990900129,sc_pna_full_recluster,70,70,70,0,57155,0,0,0,0,0,2121.134872781113,1515.3953530825675,0,0,0,0.0,2,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.2168458781362007,0.9705882352941176,0.6423321901028908,1.0,0.1356712170336632,0.37939128572165315
80,13.500564033165574,sc_pna_full_recluster,80,80,80,0,85320,0,0,0,0,0,2288.80485589616,1515.3953530825675,0,0,0,0.0,2,0.35,0.35,0.35,0.2205949656750572,0.9757085020242915,0.6387846961740435,1.0,0.14071344535949742,0.3857201947321006
90,19.43911099806428,sc_pna_full_recluster,90,90,90,0,121485,0,0,0,0,0,2556.646820041351,1515.3953530825675,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22063253012048192,0.9301587301587302,0.6133333333333333,1.0,0.13728529112368515,0.36301609508399213
100,35.37123394198716,sc_pna_full_recluster,100,100,100,0,166650,0,0,0,0,0,3181.328065926209,1515.3953530825675,0,0,0,0.0,2,0.34,0.34,0.34,0.22104954558780415,0.9617346938775511,0.6377820451272204,1.0,0.13726270856952044,0.37289335924294853
110,120.56737300008535,sc_pna_full_recluster,110,110,110,0,221815,0,0,0,0,0,4249.9555258546025,1515.3953530825675,0,0,0,0.0,2,0.34545454545454546,0.34545454545454546,0.34545454545454546,0.2233611442193087,0.9821802935010482,0.6463003372346756,1.0,0.14129384393371383,0.3875665756110565
120,120.74581801425666,sc_pna_full_recluster,120,120,120,0,287980,0,0,0,0,0,5392.1905917814,1515.3953530825675,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22150882825040127,0.968421052631579,0.6466666666666666,1.0,0.13601204381456677,0.37230897633278776
130,94.91913300007582,sc_pna_full_recluster,130,130,130,0,366145,0,0,0,0,0,6388.599543715827,1515.3953530825675,0,0,0,0.0,2,0.3384615384615385,0.3384615384615385,0.3384615384615385,0.2234375,0.9575892857142857,0.6352790796761824,1.0,0.13837419154635133,0.3701293154602156
140,71.25178806018084,sc_pna_full_recluster,140,140,140,0,457310,0,0,0,0,0,7492.469581775367,1515.3953530825675,0,0,0,0.0,2,0.3357142857142857,0.3357142857142857,0.3357142857142857,0.22363919129082427,0.9194373401534527,0.6113152094048494,1.0,0.13647709029769764,0.32660371469417726
150,127.9844359960407,sc_pna_full_recluster,150,150,150,0,562475,0,0,0,0,0,8563.427380751818,1515.3953530825675,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22286026797921793,0.9055555555555556,0.6062933333333334,1.0,0.1337432988318764,0.3183339700880934
160,135.8075870666653,sc_pna_full_recluster,160,160,160,0,682640,0,0,0,0,0,9730.279546813108,1515.3953530825675,0,0,0,0.0,2,0.3375,0.3375,0.3375,0.22783300198807158,0.8369036027263875,0.5462216388524282,1.0,0.13980112051643598,0.3016552091583955
170,138.47951602656394,sc_pna_full_recluster,170,170,170,0,818805,0,0,0,0,0,10880.301963770762,1515.3953530825675,0,0,0,0.0,2,0.3411764705882353,0.3411764705882353,0.3411764705882353,0.22593476531424025,0.9776247848537005,0.6464579353874262,1.0,0.1413767849453432,0.381688518411543
180,135.24795498233289,sc_pna_full_recluster,180,180,180,0,971970,0,0,0,0,0,11951.504128752276,1515.3953530825675,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22454721294179708,0.978544061302682,0.6533333333333333,1.0,0.13813275586348162,0.37807921271251277
190,138.56902497354895,sc_pna_full_recluster,190,190,190,0,1143135,0,0,0,0,0,13059.282634872943,1515.3953530825675,0,0,0,0.0,2,0.3368421052631579,0.3368421052631579,0.3368421052631579,0.22476379910492292,0.9306794783802333,0.6219001396183764,1.0,0.13625934537816187,0.3318720999125959
200,90.16053704544902,sc_pna_full_recluster,200,200,200,0,1333300,0,0,0,0,0,14239.457938820124,1515.3953530825675,0,0,0,0.0,2,0.34,0.34,0.34,0.22669026548672566,0.9901051329622759,0.6554062162486499,1.0,0.14199696477852172,0.3913479911345602
210,161.9122609263286,sc_pna_full_recluster,210,210,210,0,1543465,0,0,0,0,0,15718.556253821589,1515.3953530825675,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22548209366391184,0.9170868347338935,0.6120272108843537,1.0,0.13645205749163222,0.32712684323089436
220,126.56710192095488,sc_pna_full_recluster,220,220,220,0,1774630,0,0,0,0,0,17234.968767967075,1515.3953530825675,0,0,0,0.0,2,0.33636363636363636,0.33636363636363636,0.33636363636363636,0.22614198884641895,0.9197247706422018,0.6124169394029555,1.0,0.13749093326122064,0.32983113859546537
230,149.38994706608355,sc_pna_full_recluster,230,230,230,0,2027795,0,0,0,0,0,19144.931251881644,1515.3953530825675,0,0,0,0.0,2,0.3347826086956522,0.3347826086956522,0.3347826086956522,0.2267742485368487,0.9294364229156963,0.6173948550428746,1.0,0.1388436760460202,0.33487248320876023
240,226.3086949242279,sc_pna_full_recluster,240,240,240,0,2303960,0,0,0,0,0,21071.753608761355,1515.3953530825675,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2262305263702707,0.933974358974359,0.6229166666666667,1.0,0.13768558174463688,0.3393278004197328
250,210.3413400473073,sc_pna_full_recluster,250,250,250,0,2604125,0,0,0,0,0,23456.161905894987,1515.3953530825675,0,0,0,0.0,2,0.336,0.336,0.336,0.22635392829900838,0.933910306845004,0.6231711531815215,1.0,0.13762866683764402,0.33603042005622713
260,402.3760490817949,sc_pna_full_recluster,260,260,260,0,2929290,0,0,0,0,0,25660.229541244917,1515.3953530825675,0,0,0,0.0,2,0.3346153846153846,0.3346153846153846,0.3346153846153846,0.2276311731794352,0.9387718023255814,0.6224526024284599,1.0,0.1401625918391203,0.3443815864377268
270,182.3521259939298,sc_pna_full_recluster,270,270,270,0,3280455,0,0,0,0,0,27782.769398996606,1515.3953530825675,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23695748559042318,0.8097643097643098,0.5099259259259259,1.0,0.15202412604450816,0.29274594751633926
280,317.9425239795819,sc_pna_full_recluster,280,280,280,0,3658620,0,0,0,0,0,30634.000496123917,1515.3953530825675,0,0,0,0.0,2,0.3357142857142857,0.3357142857142857,0.3357142857142857,0.22909269009428188,0.8778542383484517,0.5782158819567746,1.0,0.14009758274600118,0.31045317638031333
290,264.46878898423165,sc_pna_full_recluster,290,290,290,0,4064785,0,0,0,0,0,33037.48509683646,1515.3953530825675,0,0,0,0.0,2,0.33448275862068966,0.33448275862068966,0.33448275862068966,0.23034072265252395,0.879516317016317,0.5756685026112268,1.0,0.1424422419373772,0.3134239563264662
300,393.3823249535635,finalize,300,300,300,0,4499950,0,0,0,0,0,36274.06652865466,1515.3953530825675,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22896963663514186,0.8761904761904762,0.5782933333333333,1.0,0.1394440640246512,0.3081656626657201
