step,step_ms,action,active_points,recompute_count,prediction_count,cluster_count,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
10,1.540650031529367,full_recluster,10,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.7243039328604937,full_recluster,20,20,0,2,0.3877551020408163,0.5757575757575758,0.1910828025477707,0.75,0.41263064919770354,0.6272038033313857
30,2.073660958558321,full_recluster,30,30,0,4,0.631578947368421,0.7792207792207793,0.09776536312849161,0.9333333333333333,0.6187428684824131,0.7829592236558547
40,2.025583991780877,full_recluster,40,40,0,5,1.0,0.7814569536423841,0.0,0.9,0.8369970404175044,0.8844357240079964
50,2.7586090145632625,full_recluster,50,50,0,5,1.0,0.8728070175438597,0.0,0.94,0.9154468776315002,0.9372605495402783
60,2.3655809927731752,full_recluster,60,60,0,5,1.0,0.8644578313253012,0.0,0.9333333333333333,0.9048698143464173,0.9173707646185306
70,2.573356032371521,full_recluster,70,70,0,5,1.0,0.8293216630196937,0.0,0.9142857142857143,0.8731983559177345,0.8863483327697457
80,2.888401970267296,full_recluster,80,80,0,5,1.0,0.8311258278145696,0.0,0.9125,0.873795713723948,0.8839359779986542
90,2.9014790197834373,full_recluster,90,90,0,5,1.0,0.8502604166666666,0.0,0.9222222222222223,0.8884670838022205,0.8847875798160081
100,3.1266679288819432,full_recluster,100,100,0,5,1.0,0.8811777076761304,0.0,0.94,0.9160028869389005,0.9134659115123308
110,3.4197469940409064,full_recluster,110,110,0,5,1.0,0.8753246753246753,0.0,0.9363636363636364,0.9111408487533262,0.9087919032278003
120,3.576595103368163,full_recluster,120,120,0,5,1.0,0.8855072463768116,0.0,0.9416666666666667,0.9192536839256508,0.9146648331760384
