step,step_ms,action,active_points,recompute_count,prediction_count,cluster_count,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
10,0.0085469800978899,approx_predict,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.032988027669489384,approx_predict,20,1,9,0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.038125901482999325,approx_predict,30,1,19,0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.04843901842832565,approx_predict,40,1,29,0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.04221394192427397,approx_predict,50,1,39,0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.04667695611715317,approx_predict,60,1,49,0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.07634400390088558,approx_predict,70,1,59,0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.06371201016008854,approx_predict,80,1,69,0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.057748984545469284,approx_predict,90,1,79,0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.07609697058796883,approx_predict,100,1,89,0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.07237493991851807,approx_predict,110,1,99,0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.07057399488985538,approx_predict,120,1,109,0,0.0,0.0,0.0,0.0,0.0,0.0
