step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,cluster_count,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
10,1.5350040048360825,compressed_recluster,10,10,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.8104709452018142,compressed_recluster,20,20,20,0,2,0.3877551020408163,0.5757575757575758,0.1910828025477707,0.75,0.41263064919770354,0.6272038033313857
30,2.3752929409965873,compressed_recluster,30,30,30,0,4,0.631578947368421,0.7792207792207793,0.09776536312849161,0.9333333333333333,0.6187428684824131,0.7829592236558547
40,1.618696958757937,compressed_recluster,40,40,40,0,5,1.0,0.7814569536423841,0.0,0.9,0.8369970404175044,0.8844357240079964
50,5.3352490067481995,fused_recluster,40,50,50,0,5,1.0,0.8728070175438597,0.0,0.94,0.9154468776315002,0.9372605495402783
60,5.461998982354999,fused_recluster,40,60,60,0,4,0.7,0.927710843373494,0.0917941585535466,0.9666666666666667,0.7415904614715089,0.8665635969594943
70,5.660255905240774,fused_recluster,40,70,70,0,5,1.0,0.8336980306345733,0.0,0.9142857142857143,0.8762669672465668,0.8869515536919995
80,5.169050069525838,fused_recluster,40,80,80,0,5,0.9729206963249516,0.8327814569536424,0.005477308294209703,0.925,0.8627534013051457,0.8601634600163406
90,5.518118967302144,fused_recluster,40,90,90,0,5,1.0,0.828125,0.0,0.9111111111111111,0.8691969216517619,0.8715824288936245
100,5.388427060097456,fused_recluster,40,100,100,0,4,0.7033689400164339,0.900105152471083,0.0902725681420355,0.95,0.7281039512291789,0.8325040130051152
110,5.524835083633661,fused_recluster,40,110,110,0,3,0.6459293394777266,0.7281385281385281,0.09524793388429752,0.7727272727272727,0.6948192548954032,0.7930729626661881
120,5.465038004331291,fused_recluster,40,120,120,0,3,0.45736724008975316,0.886231884057971,0.25190972222222224,0.9416666666666667,0.46558712304857947,0.6789987429455019
