step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,cluster_count,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
10,1.134564052335918,incremental_mst_cluster,10,10,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,2.3745211074128747,incremental_mst_cluster,20,20,20,0,2,0.0,0.0,0.2578947368421053,0.75,0.0,0.5301563948668957
30,3.244241001084447,incremental_mst_cluster,30,30,30,0,4,0.0,0.0,0.21839080459770116,0.9333333333333333,0.0,0.6094897084523813
40,3.6686930106952786,incremental_mst_cluster,40,40,40,0,5,0.0,0.0,0.15256410256410258,0.9,0.0,0.6430751868539359
50,2.991262939758599,incremental_mst_cluster,50,50,50,0,5,0.0,0.0,0.16244897959183674,0.94,0.0,0.6148127756172146
60,2.9010369908064604,incremental_mst_cluster,60,60,60,0,5,0.0,0.0,0.16214689265536722,0.9333333333333333,0.0,0.5976625721284092
70,3.261790960095823,incremental_mst_cluster,70,70,70,0,5,0.0,0.0,0.15693581780538302,0.9142857142857143,0.0,0.5864114589653288
80,3.8899489445611835,incremental_mst_cluster,80,80,80,0,5,0.0,0.0,0.15886075949367087,0.9125,0.0,0.5732341445426595
90,4.82428097166121,incremental_mst_cluster,90,90,90,0,5,0.0,0.0,0.1630461922596754,0.9222222222222223,0.0,0.5608748422230119
100,4.646845976822078,incremental_mst_cluster,100,100,100,0,5,0.0,0.0,0.1692929292929293,0.94,0.0,0.5482421610457322
110,4.658953985199332,incremental_mst_cluster,110,110,110,0,5,0.0,0.0,0.16864053377814844,0.9363636363636364,0.0,0.5410523701918104
120,5.711646052077413,incremental_mst_cluster,120,120,120,0,5,0.0,0.0,0.1711484593837535,0.9416666666666667,0.0,0.5325286984827191
