step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,cluster_count,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
20,0.011961092241108418,approx_predict,20,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.024846987798810005,approx_predict,40,40,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.24984509218484163,approx_predict,60,60,1,1,7,0.0,0.0,0.1152542372881356,0.9166666666666666,0.0,0.6648516330156148
80,0.183529919013381,approx_predict,80,80,1,21,7,0.0,0.0,0.10126582278481013,0.8625,0.0,0.6396513005895477
100,0.19906391389667988,approx_predict,100,100,1,41,7,0.0,0.0,0.10101010101010101,0.86,0.0,0.6194576855738513
120,0.20036601927131414,approx_predict,120,120,1,61,7,0.0,0.0,0.09439775910364145,0.8333333333333334,0.0,0.6029942375202465
140,0.21604495123028755,approx_predict,140,140,1,81,7,0.0,0.0,0.08900308324768756,0.8071428571428572,0.0,0.5876752945625213
160,0.20660297013819218,approx_predict,160,160,1,101,7,0.0,0.0,0.09402515723270441,0.825,0.0,0.5780652038116842
180,0.22801302839070559,approx_predict,180,180,1,121,7,0.0,0.0,0.09118559900682806,0.8111111111111111,0.0,0.5676215204205719
200,0.23057195357978344,approx_predict,200,200,1,141,7,0.0,0.0,0.09236180904522613,0.815,0.0,0.5599316900495526
220,0.2549899509176612,approx_predict,220,220,1,161,7,0.0,0.0,0.08970527189705271,0.8045454545454546,0.0,0.5522761987368803
240,0.2629669615998864,approx_predict,240,240,1,181,7,0.0,0.0,0.08804044630404463,0.7958333333333333,0.0,0.5449264145098557
260,0.25898509193211794,approx_predict,260,260,1,201,7,0.0,0.0,0.08951588951588951,0.8,0.0,0.5393954935482684
280,0.28338993433862925,approx_predict,280,280,1,221,7,0.0,0.0,0.0887352790578597,0.7964285714285714,0.0,0.5339464326758064
300,0.27468299958854914,approx_predict,300,300,1,241,7,0.0,0.0,0.08905239687848383,0.7966666666666666,0.0,0.529144338948324
320,0.2885559806600213,approx_predict,320,320,1,261,7,0.0,0.0,0.08681426332288401,0.7875,0.0,0.5239990717710847
