step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,cluster_count,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
20,1.1527539463713765,compressed_recluster,20,20,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,1.4058930100873113,compressed_recluster,40,40,40,0,5,0.7304347826086957,0.8842105263157894,0.04525547445255475,0.9,0.7748298852154787,0.8924094168319806
60,1.7488329904153943,compressed_recluster,60,60,60,0,7,1.0,0.918918918918919,0.0,0.9166666666666666,0.9581500922116613,0.9752602653651252
80,2.0790379494428635,compressed_recluster,80,80,80,0,8,1.0,0.9002557544757033,0.0,0.9625,0.939223464358697,0.9661133222966197
100,7.527315057814121,fused_recluster,80,100,100,0,8,1.0,0.8660130718954249,0.0,0.94,0.9090229977055654,0.935750396844731
120,9.270534035749733,fused_recluster,80,120,120,0,5,0.49015614392396467,0.827033218785796,0.11983405138024573,0.8583333333333333,0.5681190780735675,0.796275431784606
140,8.542430005036294,fused_recluster,80,140,140,0,7,1.0,0.7888513513513513,0.0,0.8285714285714286,0.8809252244675779,0.9147181969881709
160,8.521186071448028,fused_recluster,80,160,160,0,6,0.5313396149119214,0.8314102564102565,0.1025089605734767,0.9125,0.5753315938247445,0.7883910954753904
180,8.127116016112268,fused_recluster,80,180,180,0,6,0.6657534246575343,0.8696319018404908,0.06033630069238378,0.9333333333333333,0.7053704162800617,0.8310474180187146
200,7.894920068792999,fused_recluster,80,200,200,0,6,0.67578125,0.8564356435643564,0.056992446784161134,0.925,0.704787130049319,0.8244721672257943
220,7.435315987095237,fused_recluster,80,220,220,0,5,0.7482408131352619,0.6532423208191126,0.030434782608695653,0.7,0.618892000538129,0.7909855020938797
240,7.338659954257309,fused_recluster,80,240,240,0,6,0.6652981849611063,0.8809728183118741,0.06150486400635299,0.9416666666666667,0.711489478024545,0.8294734614749549
260,7.6784329721704125,fused_recluster,80,260,260,0,7,0.8049500454132607,0.8614823815309842,0.02906445609879885,0.9307692307692308,0.794658116072826,0.8618738136014795
280,7.605068036355078,fused_recluster,80,280,280,0,5,0.6330120074412312,0.7843671416596815,0.06328744750349977,0.8285714285714286,0.6729282821756034,0.8092672847492782
300,7.3903880547732115,fused_recluster,80,300,300,0,6,0.7928203169753676,0.7572496808316616,0.02756115528234308,0.8166666666666667,0.7605441249066635,0.8457676435159203
320,7.652467000298202,fused_recluster,80,320,320,0,6,0.7657732645247212,0.7371794871794872,0.03140625,0.80625,0.7229419375250707,0.8277366821278724
