step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,cluster_count,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
20,1.281621982343495,incremental_mst_cluster,20,20,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,2.2930880077183247,incremental_mst_cluster,40,40,40,0,5,0.0,0.0,0.14743589743589744,0.9,0.0,0.6462208013102893
60,3.0732019804418087,incremental_mst_cluster,60,60,60,0,7,0.0,0.0,0.1152542372881356,0.9166666666666666,0.0,0.6648516330156148
80,3.513660980388522,incremental_mst_cluster,80,80,80,0,8,0.0,0.0,0.11139240506329114,0.9625,0.0,0.6553508842503115
100,3.9406040450558066,incremental_mst_cluster,100,100,100,0,8,0.0,0.0,0.11212121212121212,0.96,0.0,0.634784035899181
120,4.465559031814337,incremental_mst_cluster,120,120,120,0,7,0.0,0.0,0.1273109243697479,0.9,0.0,0.5929733449925411
140,5.077666020952165,incremental_mst_cluster,140,140,140,0,7,0.0,0.0,0.12939362795477904,0.9071428571428571,0.0,0.5799951557458157
160,5.508461035788059,incremental_mst_cluster,160,160,160,0,8,0.0,0.0,0.09756289308176101,0.89375,0.0,0.6017975748261705
180,5.986217060126364,incremental_mst_cluster,180,180,180,0,8,0.0,0.0,0.1005586592178771,0.9111111111111111,0.0,0.5930634566606583
200,6.647635018453002,incremental_mst_cluster,200,200,200,0,8,0.0,0.0,0.10492462311557789,0.93,0.0,0.5836599762057023
220,7.961163995787501,incremental_mst_cluster,220,220,220,0,8,0.0,0.0,0.1041926110419261,0.9272727272727272,0.0,0.5769791672147955
240,7.837274926714599,incremental_mst_cluster,240,240,240,0,8,0.0,0.0,0.10516039051603905,0.9291666666666667,0.0,0.5700784023258657
260,8.896867977455258,incremental_mst_cluster,260,260,260,0,8,0.0,0.0,0.1084051084051084,0.9423076923076923,0.0,0.5627750058581442
280,9.579746052622795,incremental_mst_cluster,280,280,280,0,8,0.0,0.0,0.10844854070660523,0.9428571428571428,0.0,0.557609948459262
300,10.366546106524765,incremental_mst_cluster,300,300,300,0,8,0.0,0.0,0.10874024526198439,0.9433333333333334,0.0,0.5526825150352351
320,11.200736043974757,incremental_mst_cluster,320,320,320,0,8,0.0,0.0,0.10246865203761756,0.915625,0.0,0.5507986599912802
