step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,cluster_count,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
20,0.8873379556462169,full_recluster,20,20,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,1.218118006363511,full_recluster,40,40,40,0,5,0.7304347826086957,0.8842105263157894,0.04525547445255475,0.9,0.7748298852154787,0.8924094168319806
60,1.5051569789648056,full_recluster,60,60,60,0,7,1.0,0.918918918918919,0.0,0.9166666666666666,0.9581500922116613,0.9752602653651252
80,1.72550103161484,full_recluster,80,80,80,0,8,1.0,0.9002557544757033,0.0,0.9625,0.939223464358697,0.9661133222966197
100,2.0367729011923075,full_recluster,100,100,100,0,8,0.980072463768116,0.8839869281045751,0.0025357307514983865,0.96,0.9166684284335074,0.941295154388623
120,2.3985339794307947,full_recluster,120,120,120,0,7,0.7799779977997799,0.8121420389461627,0.031913196106590075,0.9,0.7539724182218289,0.8659318165615518
140,2.8632170287892222,full_recluster,140,140,140,0,7,0.7728355837966641,0.8217905405405406,0.033465948981979875,0.9071428571428571,0.7499559291222326,0.8583277437945982
160,3.4070919500663877,full_recluster,160,160,160,0,8,1.0,0.7955128205128205,0.0,0.89375,0.8341826364692219,0.8719336561814763
180,4.00482292752713,full_recluster,180,180,180,0,8,1.0,0.8282208588957055,0.0,0.9111111111111111,0.8668082027196767,0.8891283980479499
200,4.708174965344369,full_recluster,200,200,200,0,8,1.0,0.8613861386138614,0.0,0.93,0.8985795284727358,0.9084409607526709
220,5.268872017040849,full_recluster,220,220,220,0,8,1.0,0.856655290102389,0.0,0.9272727272727272,0.8943141149056009,0.9055091729370988
240,6.173745961859822,full_recluster,240,240,240,0,8,1.0,0.8629470672389127,0.0,0.9291666666666667,0.8998091854331832,0.9087065307399989
260,7.285762927494943,full_recluster,260,260,260,0,8,1.0,0.8869987849331713,0.0,0.9423076923076923,0.9203125437218378,0.9214647556975357
280,8.032576995901763,full_recluster,280,280,280,0,8,1.0,0.8813914501257335,0.0,0.9392857142857143,0.915560120032252,0.917871150037663
300,8.840472088195384,full_recluster,300,300,300,0,8,0.993643633381177,0.8838227247857012,0.0007874615794955165,0.9433333333333334,0.9160760884540465,0.9167899445703512
320,9.799474035389721,full_recluster,320,320,320,0,8,1.0,0.8381410256410257,0.0,0.915625,0.8780647209586576,0.8960183334134636
