step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,cluster_count,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
20,0.9921350283548236,window_recluster,20,20,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,2.327489899471402,window_recluster,40,40,40,0,5,0.7304347826086957,0.8842105263157894,0.04525547445255475,0.9,0.7748298852154787,0.8924094168319806
60,1.7415770562365651,window_recluster,60,60,60,0,7,1.0,0.918918918918919,0.0,0.9166666666666666,0.9581500922116613,0.9752602653651252
80,2.1706409752368927,window_recluster,80,80,80,0,8,1.0,0.9002557544757033,0.0,0.9625,0.939223464358697,0.9661133222966197
100,2.3660711012780666,window_recluster,80,80,100,0,8,1.0,0.837696335078534,0.0,0.925,0.8883658907940173,0.9279126010852508
120,2.0815619500353932,window_recluster,80,80,120,0,7,0.7390350877192983,0.8553299492385786,0.04302241503976862,0.9125,0.7433687750475072,0.8609092795604878
140,2.105280989781022,window_recluster,80,80,140,0,8,1.0,0.8082901554404145,0.0,0.9,0.847574421168688,0.8903528347822693
160,1.9964029779657722,window_recluster,80,80,160,0,7,0.8864864864864865,0.8475452196382429,0.015146051208077894,0.925,0.8317838181113503,0.8877027392420678
180,2.023983048275113,window_recluster,80,80,180,0,8,1.0,0.8605898123324397,0.0,0.925,0.8999489391813382,0.9280113609376022
200,2.2084960946813226,window_recluster,80,80,200,0,7,0.7358078602620087,0.8986666666666666,0.04344703770197487,0.95,0.7736232437783297,0.8946732438454112
220,2.0796710159629583,window_recluster,80,80,220,0,7,0.7765237020316027,0.91005291005291,0.03558590941768512,0.95,0.8068320348163225,0.9007618947302392
240,1.9561569206416607,window_recluster,80,80,240,0,8,0.9667673716012085,0.8398950131233596,0.00395825836631882,0.925,0.8710310630840432,0.908078483410935
260,2.056924975477159,window_recluster,80,80,260,0,8,0.9746031746031746,0.8036649214659686,0.0028797696184305254,0.9125,0.842956083364477,0.8892518590501669
280,2.0704460330307484,window_recluster,80,80,280,0,8,1.0,0.8227513227513228,0.0,0.9,0.8568951685945708,0.8924424815680536
300,2.1790219470858574,window_recluster,80,80,300,0,7,0.8880407124681934,0.9041450777202072,0.015861571737563085,0.925,0.8732580271131563,0.9161108822010793
320,2.2309060441330075,window_recluster,80,80,320,0,7,0.7338709677419355,0.728,0.0355475763016158,0.85,0.6403609779610636,0.7942388400151382
