step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
10,0.008594943210482597,approx_predict,10,10,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
20,0.014119083061814308,approx_predict,20,20,0,0,0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
30,0.018403981812298298,approx_predict,30,30,0,0,0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
40,2.5779689894989133,approx_predict,40,40,1,0,5,0.9,1.0,0.9,1.0,0.7814569536423841,0.0,0.9,0.8369970404175044,0.8844357240079964
50,0.1844409853219986,approx_predict,50,50,1,10,5,0.9,1.0,0.9,1.0,0.7982456140350878,0.0,0.9,0.8565399064991521,0.8944428950297034
60,0.20105403382331133,approx_predict,60,60,1,20,5,0.8833333333333333,1.0,0.8833333333333333,1.0,0.7740963855421686,0.0,0.8833333333333333,0.8259874786059336,0.8613996384531746
70,0.17154391389340162,approx_predict,70,70,1,30,5,0.8857142857142857,1.0,0.8857142857142857,1.0,0.7833698030634574,0.0,0.8857142857142857,0.8378559999429603,0.8683707242734804
80,0.19145000260323286,approx_predict,80,80,1,40,5,0.875,1.0,0.875,1.0,0.7698675496688742,0.0,0.875,0.8172001542614732,0.8411238704337503
90,0.19079004414379597,approx_predict,90,90,1,50,5,0.8777777777777778,1.0,0.8777777777777778,1.0,0.7747395833333334,0.0,0.8777777777777778,0.8220262397210668,0.844057437093373
100,0.286850961856544,approx_predict,100,100,1,60,5,0.89,1.0,0.89,1.0,0.7896950578338591,0.0,0.89,0.837628755894987,0.8549759476058729
110,0.18120405729860067,approx_predict,110,110,1,70,5,0.8727272727272727,1.0,0.8727272727272727,1.0,0.7575757575757576,0.0,0.8727272727272727,0.8038632440968014,0.8302142306301468
120,0.19742397125810385,approx_predict,120,120,1,80,5,0.8833333333333333,1.0,0.8833333333333333,1.0,0.7768115942028986,0.0,0.8833333333333333,0.8227794748694399,0.8409809952545645
