step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
10,0.9457939304411411,full_recluster,10,10,10,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
20,1.1975590605288744,full_recluster,20,20,20,0,2,0.4,0.5333333333333333,0.45,0.3877551020408163,0.5757575757575758,0.1910828025477707,0.75,0.41263064919770354,0.6272038033313857
30,1.2710039736703038,full_recluster,30,30,30,0,4,0.7333333333333333,0.7857142857142857,0.7333333333333333,0.631578947368421,0.7792207792207793,0.09776536312849161,0.9333333333333333,0.6187428684824131,0.7829592236558547
40,1.3817689614370465,full_recluster,40,40,40,0,5,0.9,1.0,0.9,1.0,0.7814569536423841,0.0,0.9,0.8369970404175044,0.8844357240079964
50,1.680542016401887,full_recluster,50,50,50,0,5,0.94,1.0,0.94,1.0,0.8728070175438597,0.0,0.94,0.9154468776315002,0.9372605495402783
60,1.684627030044794,full_recluster,60,60,60,0,5,0.9333333333333333,1.0,0.9333333333333333,1.0,0.8644578313253012,0.0,0.9333333333333333,0.9048698143464173,0.9173707646185306
70,1.8128430237993598,full_recluster,70,70,70,0,5,0.9142857142857143,1.0,0.9142857142857143,1.0,0.8293216630196937,0.0,0.9142857142857143,0.8731983559177345,0.8863483327697457
80,1.8965950002893806,full_recluster,80,80,80,0,5,0.9125,1.0,0.9125,1.0,0.8311258278145696,0.0,0.9125,0.873795713723948,0.8839359779986542
90,2.0823780214414,full_recluster,90,90,90,0,5,0.9222222222222223,1.0,0.9222222222222223,1.0,0.8502604166666666,0.0,0.9222222222222223,0.8884670838022205,0.8847875798160081
100,2.366948057897389,full_recluster,100,100,100,0,5,0.94,1.0,0.94,1.0,0.8811777076761304,0.0,0.94,0.9160028869389005,0.9134659115123308
110,2.5553000159561634,full_recluster,110,110,110,0,5,0.9363636363636364,1.0,0.9363636363636364,1.0,0.8753246753246753,0.0,0.9363636363636364,0.9111408487533262,0.9087919032278003
120,2.700786921195686,full_recluster,120,120,120,0,5,0.9416666666666667,1.0,0.9416666666666667,1.0,0.8855072463768116,0.0,0.9416666666666667,0.9192536839256508,0.9146648331760384
